Particles Cars
39 2308
21 3084
41 110
19 1854
58 2351
40 2662
28 2478
29 2387
8 984
7 2159
28 303
25 4166
3 105
218 1618
51 2484
29 144
17 2450
21 2042
20 184
68 2084
21 2372
43 4080
36 2079
12 1159
12 1608
28 1935
23 2758
8 1616
40 1771
20 53
54 3137
21 795
35 1550
6 1883
21 124
13 2442
79 1667
32 2865
100 3777
22 4053
64 3879
6 1814
12 662
25 2308
42 859
70 678
48 118
55 2663
19 226
22 45
7 131
34 3831
48 2579
20 3844
59 1575
25 1986
33 4239
26 102
20 1634
15 656
22 495
58 2087
37 1985
13 623
5 1097
162 1799
10 2446
26 1906
39 925
21 1791
30 1979
21 249
30 3591
35 387
53 1906
113 2369
74 2976
13 1278
44 2864
142 717
39 2650
194 1696
32 142
8 169
29 1348
27 1739
9 1867
31 3407
26 1010
17 1239
38 3962
15 1930
20 2103
55 2147
31 551
2 1185
34 1543
14 2874
7 1558
41 1884
17 767
31 1931
27 3571
24 2013
123 1888
103 3677
21 318
48 1005
40 3633
76 2003
101 1888
84 2223
30 256
12 2174
27 2699
19 2361
29 2916
18 2691
135 3792
14 1183
27 2304
41 1074
81 3934
46 3019
13 327
28 1736
23 507
2 635
55 2248
26 2771
26 708
127 3543
14 169
4 94
26 302
10 3614
22 149
19 1633
30 765
20 541
46 1699
10 2435
73 1535
83 1837
29 2227
10 104
54 2378
62 157
40 352
10 252
27 2745
23 846
8 690
191 2511
44 2318
53 302
20 284
13 620
25 674
4 2781
23 1985
58 1337
72 3766
33 3402
25 2625
59 1865
67 1795
66 286
12 1180
3 565
12 1356
12 2617
2 2541
77 2932
14 1131
27 2702
65 2258
41 3621
56 2558
128 1973
104 647
38 2320
30 3385
6 294
61 1964
29 3024
85 2112
16 2533
41 1088
176 3236
22 2580
15 2166
61 1889
121 4048
11 385
20 525
23 3829
31 2034
30 1710
22 2622
86 2090
66 1752
42 3578
67 165
13 328
13 1263
129 2193
191 1381
14 439
23 305
7 915
30 291
113 3873
29 376
26 1868
42 3353
6 2935
58 2313
50 3613
2 622
5 197
87 3727
24 2186
18 817
65 1967
42 3132
55 2273
21 1841
14 1962
61 3961
88 3033
24 2160
28 2591
2 121
98 2133
2 79
30 1854
8 2295
95 2040
25 220
16 357
27 348
28 3042
56 1390
80 2522
20 100
35 3330
26 1957
88 4079
58 130
25 1824
87 674
23 743
10 110
37 1043
23 307
49 3510
25 2211
24 86
42 3954
11 3160
40 2698
71 1543
140 2698
27 2120
8 273
9 1277
8 227
94 2458
8 2831
79 4191
53 1883
54 362
20 1852
34 622
20 1812
220 3104
38 1510
10 229
138 2809
19 3562
15 2116
8 1923
30 2944
157 2062
139 2063
13 2064
21 2765
4 74
16 2155
50 1215
78 2848
30 2630
56 2570
42 3868
19 2301
60 190
21 189
24 1905
13 2871
14 951
22 3358
30 2983
9 61
43 123
16 619
30 142
37 474
29 701
2 169
19 179
65 2741
17 1540
21 1105
26 2635
25 1391
69 2087
123 1192
81 2856
14 615
26 1466
7 227
19 1466
13 1851
25 280
16 2913
101 2397
5 312
8 312
48 278
24 2578
36 1938
108 1189
13 1696
10 452
35 2907
32 805
12 2429
68 184
10 2103
15 459
20 3261
12 319
23 3178
64 1624
6 622
27 2048
17 185
34 576
26 88
54 667
5 982
33 1524
24 1572
107 2371
31 474
8 2901
27 2706
10 3506
8 126
2 137
23 1765
46 1862
48 2665
20 88
26 2282
28 1025
33 2114
7 1118
97 3217
50 2702
45 989
51 74
12 174
23 2509
19 1125
30 2702
7 309
24 210
25 1968
14 935
28 1908
15 120
44 958
44 2470
5 2683
29 2348
21 436
86 2464
7 241
14 196
28 2361
31 266
49 2608
9 3628
99 1982
33 255
17 1916
9 675
18 500
30 765
20 413
42 2047
19 344
36 4129
27 1511
131 2740
76 2304
27 1010
44 2398
37 179
17 465
43 240
36 199
24 241
34 153
68 2081
51 3994
10 300
26 241
15 1130
35 203
7 466
79 172
110 2130
12 363
5 2020
44 1850
7 125
22 1899
25 2341
12 1820
9 436
139 1114
57 1988
91 3662
7 99
22 3763
100 4086
38 1941
32 2019
48 3697
173 3610
21 2150
33 2408
13 109
47 2057
12 244
8 716
20 2714
4 701
24 3715
9 228
35 2673
48 3055
30 1265
21 2894
77 779
11 1212
14 2115
13 111
28 271
13 2569
40 2688
11 1348
11 133
108 1934
21 2021
21 787
9 159
24 1739
89 2165
10 2449
27 3876
24 2142
58 207
64 550
22 792
83 3272
18 711
3 342
31 2426
34 2347
23 2149
9 2919
23 2402
8 387
38 94
42 278
12 289
7 1892
7 512
16 96
15 722
6 203
10 275
61 2233
30 519
40 2579
65 3809
