Rk,Country,State,# of Pros,# Active,# of HOF,G,TDs,Most Touchdowns,TDs,Most Games Played,Games
1,Unknown,,53,53,0,407,13,,,,
2,USA,,292,0,0,1764,70,Marty Norton\NortMa20,10,Two-Bits Homan\HomaTw20,81
3,USA,AK,13,0,0,955,17,Steve Smith\SmitSt02,12,Mark Schlereth\SchlMa00,156
4,USA,AL,710,64,7,36394,1920,Terrell Owens\OwenTe00,156,Terrell Owens\OwenTe00,219
5,USA,AR,313,14,5,15178,1571,Don Hutson\HutsDo00,105,Trey Junkin\JunkTr20,281
6,USA,AZ,190,27,2,10237,413,Todd Heap\HeapTo00,42,Randall McDaniel\McDaRa00,222
7,USA,CA,2384,230,18,120295,7195,Marcus Allen\AlleMa00,145,Jeff Feagles\FeagJe20,352
8,USA,CO,172,14,1,7412,299,Dutch Clark\ClarDu20,42,John Denney\DennJo20,208
9,USA,CT,203,13,3,7269,394,Joe Horn\HornJo00,58,John Carney\carnejoh01,302
10,USA,DC,191,13,3,9831,557,Brian Westbrook\WestBr00,73,Kevin Glover\GlovKe00,191
11,USA,DE,32,5,0,1297,42,Tim Wilson\WilsTi00,9,Luke Petitgout\PetiLu20,117
12,USA,FL,1441,231,11,77775,5586,Emmitt Smith\SmitEm00,175,Phil Dawson\dawsophi01,295
13,USA,GA,873,123,9,49324,3135,Jim Brown\BrowJi00,126,John Kasay\kasayjoh01,301
14,USA,HI,106,14,0,5451,91,Arnold Morgado\MorgAr00,16,Dominic Raiola\RaioDo20,219
15,USA,IA,314,13,1,14783,781,Darren Sproles\SproDa00,61,Reggie Roby\RobyRe20,238
16,USA,ID,69,5,1,3520,156,Merril Hoge\HogeMe00,34,Wayne Walker\WalkWa01,200
17,USA,IL,1085,52,13,46510,2570,Bill Brown\BrowBi00,76,Mike Kenn\KennMi00,251
18,USA,IN,416,22,3,17776,980,Mark Clayton\ClayMa00,85,Rod Woodson\WoodRo01,238
19,USA,KS,249,14,5,11752,785,John Riggins\RiggJo00,116,Kendall Gammon\GammKe00,234
20,USA,KY,244,14,3,10835,579,Shaun Alexander\AlexSh00,112,Jim Marshall\MarsJi00,282
21,USA,LA,862,73,8,47096,3901,Marshall Faulk\FaulMa00,136,Peyton Manning\MannPe00,266
22,USA,MA,411,8,4,16909,797,Don McCauley\McCaDo00,58,Joe Nash\NashJo00,218
23,USA,MD,247,35,0,12651,866,Chuck Foreman\ForeCh00,76,Sean Landeta\LandSe20,284
24,USA,ME,26,1,0,1059,19,Thurlow Cooper\CoopTh00,8,Al Harris\HarrAl20,149
25,USA,MI,719,55,5,37852,2288,Antonio Gates\GateAn00,114,Earl Morrall\MorrEa00,255
26,USA,MN,405,20,5,15418,841,Larry Fitzgerald\FitzLa00,110,Rohn Stark\StarRo20,233
27,USA,MO,399,32,5,18679,1095,Jeremy Maclin\MaclJe00,49,Pat Leahy\leahypat01,250
28,USA,MS,618,35,9,32615,2340,Jerry Rice\RiceJe00,208,Jerry Rice\RiceJe00,303
29,USA,MT,69,4,0,3011,38,Frank Akins\AkinFr00,7,Tim Hauck\HaucTi20,183
30,USA,NC,576,55,7,30461,1749,Torry Holt\HoltTo00,74,Bruce Matthews\MattBr00,296
31,USA,ND,52,3,0,2139,91,Pete Retzlaff\RetzPe00,47,Andy Heck\HeckAn20,185
32,USA,NE,245,12,3,10666,491,Ahman Green\GreeAh00,74,Mick Tingelhoff\TingMi00,240
33,USA,NH,24,1,0,1033,31,Greg Landry\LandGr00,22,Don Macek\MaceDo20,162
34,USA,NJ,638,67,6,33524,2099,Franco Harris\HarrFr00,100,Irving Fryar\FryaIr00,255
35,USA,NM,42,4,2,2293,119,Tommy McDonald\McDoTo00,85,Ronnie Lott\LottRo00,192
36,USA,NV,64,13,0,3106,256,Steven Jackson\JackSt00,78,Steven Jackson\JackSt00,160
37,USA,NY,854,46,7,36565,1674,Rob Gronkowski\GronRo00,77,Ricky Proehl\ProeRi00,244
38,USA,NZ,1,1,0,10,0,,,Paul Lasike\LasiPa00,10
39,USA,OH,1456,94,22,64857,3462,Cris Carter\CartCr00,131,Lou Groza\GrozLo20,268
40,USA,OK,474,24,5,19760,1297,Steve Largent\LargSt00,101,Josh Brown\brownjos01,201
41,USA,OR,172,17,1,8754,381,Jerry Smith\SmitJe01,60,Stan Brock\BrocSt20,234
42,USA,PA,1427,72,29,64126,4582,Marvin Harrison\HarrMa00,128,George Blanda\BlanGe00,340
43,USA,RI,39,1,0,1564,83,Tom Mitchell\MitcTo00,24,Al Del Greco\delgralx01,248
44,USA,SC,420,58,2,26285,1620,Stanley Morgan\MorgSt00,73,Clyde Simmons\SimmCl00,236
45,USA,SD,57,2,1,2877,185,Dallas Clark\ClarDa00,53,Adam Vinatieri\vinatada01,337
46,USA,TN,416,40,5,20325,774,Jason Witten\WittJa00,68,Jason Witten\WittJa00,239
47,USA,TX,2398,192,31,124817,8280,LaDainian Tomlinson\TomlLa00,162,Matt Stover\stovemat01,297
48,USA,UT,125,14,2,5817,281,Steve Young\YounSt00,43,Merlin Olsen\OlseMe00,208
49,USA,VA,458,52,10,27269,1981,Thomas Jones\JoneTh00,71,Bruce Smith\SmitBr00,279
50,USA,VT,10,0,0,444,16,Jim Laird\LairJi20,13,Steve Wisniewski\WisnSt00,206
51,USA,WA,303,23,4,15630,834,Corey Dillon\DillCo00,89,Jason Hanson\hansojas01,327
52,USA,WI,440,28,8,18095,1012,Elroy Hirsch\HirsEl00,66,Mike Webster\WebsMi00,245
53,USA,WV,178,5,3,7038,580,Randy Moss\MossRa00,157,Randy Moss\MossRa00,218
54,USA,WY,38,2,0,2585,212,Jack Snow\SnowJa00,45,Don Cockroft\cockrdon01,188
55,American Samoa,,34,3,0,1861,33,Mosi Tatupu\TatuMo00,21,Mosi Tatupu\TatuMo00,199
56,Angola,,1,0,0,24,0,,,Christo Bilukidi\BiluCh00,24
57,Argentina,,3,0,0,201,0,,,Martin Gramatica\gramamar01,109
58,Armenia,,1,0,0,48,0,,,Mike Gulian\GuliMi20,48
59,Australia,,14,5,0,721,0,,,Darren Bennett\BennDa20,160
60,Austria,,6,0,0,450,0,,,Ray Wersching\werscray01,206
61,Bahamas,,3,0,0,79,4,Devard Darling\DarlDe00,4,Devard Darling\DarlDe00,46
62,Barbados,,5,0,0,306,8,Elvis Joseph\JoseEl00,3,Robert Bailey\BailRo20,146
63,Belgium,,2,0,0,90,0,,,Terry Ray\RayxTe20,73
64,Belize,,2,1,0,36,0,,,Rakeem Nunez-Roches\NuneRa00,34
65,Bermuda,,3,0,0,98,20,Ron Davenport\DaveRo00,17,Ron Davenport\DaveRo00,67
66,Bolivia,,1,0,0,4,0,,,Wilson Alvarez\alvarwil01,4
67,Brazil,,1,1,0,53,0,,,Cairo Santos\SantCa01,53
68,Bulgaria,,1,0,0,21,0,,,Boni Petcoff\PetcBo20,21
69,Burma,,1,0,0,10,2,Don Thompson\ThomDo22,2,Don Thompson\ThomDo22,10
70,Cameroon,,6,2,0,281,0,,,Roman Oben\ObenRo20,143
71,Canada,,107,13,2,5003,195,Nate Burleson\BurlNa00,43,Eddie Murray\murraedd01,250
72,Colombia,,2,0,0,167,0,,,Fuad Reveiz\reveifua01,147
73,Congo,,3,1,0,50,0,,,Andy Mulumba\MuluAn00,22
74,Croatia,,2,0,0,34,0,,,George Perpich\PerpGe20,27
75,Cuba,,4,0,0,287,4,Joe Lamas\LamaJo20,1,Luis Sharpe\SharLu00,189
76,Cyprus,,1,0,0,177,0,,,Garo Yepremian\yepregar01,177
77,Czech Republic,,5,0,0,128,1,Bullets Walson\WalsBu20,1,Will Svitek\SvitWi20,79
78,Denmark,,4,0,1,424,0,,,Morten Andersen\andermor01,382
79,El Salvador,,1,0,0,55,0,,,Jose Cortez\cortejos01,55
