"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"2","Faye Abbott","Faye","Abbott","Clearport","OH","USA","1895-08-16","Syracuse",NA,NA,NA,NA,"BB-FB-TB-QB-WB-","8-May",182,"1/22/1965","Dayton","OH",NA,1921,1929,8,40.725548,-74.068254
"3","Vince Abbott","Vince","Abbott","London",NA,"England","5/31/1958","Washington",NA,NA,NA,NA,"K","11-May",207,NA,NA,NA,NA,1921,1929,8,51.5073509,-0.1277583
"4","Duke Abbruzzi","Duke","Abbruzzi","Warren","RI","USA","8/3/1917","Rhode Island",NA,NA,NA,NA,"HB-DB","10-May",175,"12/6/1982","Newport","RI",NA,1921,1929,8,37.09024,-95.712891
"5","Karim Abdul-Jabbar","Karim","Abdul-Jabbar","Los Angeles","CA","USA","6/28/1974","UCLA","Miami Dolphins","3rd","80th",1996,"RB","10-May",194,NA,NA,NA,NA,1996,2000,4,34.0522342,-118.2436849
"7","Hamza Abdullah","Hamza","Abdullah","Los Angeles","CA","USA","8/20/1983","Washington St.","Tampa Bay Buccaneers","7th","231st",2005,"DB","2-Jun",213,NA,NA,NA,NA,1996,2000,4,34.0522342,-118.2436849
"8","Husain Abdullah","Husain","Abdullah","Los Angeles","CA","USA","7/27/1985","Washington St.",NA,NA,NA,NA,"DB","Jun-00",204,NA,NA,NA,NA,1996,2000,4,34.0522342,-118.2436849
"9","Khalid Abdullah","Khalid","Abdullah","Jacksonville","FL","USA","3/6/1979","Mars Hill","Cincinnati Bengals","5th","136th",2003,"LB","2-Jun",227,NA,NA,NA,NA,1996,2000,4,30.3321838,-81.655651
"10","Rabih Abdullah","Rabih","Abdullah","Martinsville","VA","USA","4/27/1975","Lehigh",NA,NA,NA,NA,"RB","Jun-00",220,NA,NA,NA,NA,1996,2000,4,36.6915262,-79.8725386
"11","Rahim Abdullah","Rahim","Abdullah","Jacksonville","FL","USA","3/22/1976","Clemson","Cleveland Browns","2nd","45th",1999,"LB","5-Jun",233,NA,NA,NA,NA,1996,2000,4,30.3321838,-81.655651
"12","Fred Abel","Fred","Abel","Lincoln","NE","USA","7/17/1903","Washington",NA,NA,NA,NA,"BB-FB","10-May",170,"8/2/1980","Port Townsend","WA",NA,1926,1926,0,35.949526,-94.4235482
"13","Bud Abell","Bud","Abell","Kansas City","MO","USA","12/21/1940","Missouri","Kansas City Chiefs","23rd","178th",1964,"LB","3-Jun",220,NA,NA,NA,NA,1926,1926,0,39.0997265,-94.5785667
"14","Walter Abercrombie","Walter","Abercrombie","Waco","TX","USA","9/26/1959","Baylor","Pittsburgh Steelers","1st","12th",1982,"RB","Jun-00",210,NA,NA,NA,NA,1926,1926,0,31.549333,-97.1466695
"15","Cliff Aberson","Cliff","Aberson","Chicago","IL","USA","8/28/1921","none",NA,NA,NA,NA,"TB-DB","Jun-00",195,"6/23/1973","Vallejo","CA",NA,1926,1926,0,41.8781136,-87.6297982
"16","Victor Abiamiri","Victor","Abiamiri","Baltimore","MD","USA","1/14/1986","Notre Dame","Philadelphia Eagles","2nd","57th",2007,"DE","4-Jun",267,NA,NA,NA,NA,2007,2011,4,39.2903848,-76.6121893
"18","Clifton Abraham","Clifton","Abraham","Dallas","TX","USA","12/9/1971","Florida St.","Tampa Bay Buccaneers","5th","143rd",1995,"DB","9-May",184,NA,NA,NA,NA,1995,1997,2,32.7766642,-96.7969879
"19","Donnie Abraham","Donnie","Abraham","Orangeburg","SC","USA","10/8/1973","East Tennessee St.","Tampa Bay Buccaneers","3rd","71st",1996,"DB","10-May",190,NA,NA,NA,NA,1995,1997,2,33.4918203,-80.8556476
"20","John Abraham","John","Abraham","Timmonsville","SC","USA","5/6/1978","South Carolina","New York Jets","1st","13th",2000,"DE","4-Jun",256,NA,NA,NA,NA,1995,1997,2,34.1348782,-79.9397885
"21","Robert Abraham","Robert","Abraham","Myrtle Beach","SC","USA","7/13/1960","North Carolina St.","Houston Oilers","3rd","77th",1982,"LB","1-Jun",228,NA,NA,NA,NA,1995,1997,2,33.6890603,-78.8866943
"22","Danny Abramowicz","Danny","Abramowicz","Steubenville","OH","USA","7/13/1945","Xavier (OH)","New Orleans Saints","17th","420th",1967,"E","1-Jun",195,NA,NA,NA,NA,1995,1997,2,40.3697905,-80.6339638
"23","Sid Abramowitz","Sid","Abramowitz","Culver City","CA","USA","5/21/1960","Air Force","Baltimore Colts","5th","113th",1983,"T","6-Jun",280,NA,NA,NA,NA,1995,1997,2,34.0211224,-118.3964665
"24","Bobby Abrams","Bobby","Abrams","Detroit","MI","USA","4/12/1967","Michigan",NA,NA,NA,NA,"LB","3-Jun",240,NA,NA,NA,NA,1995,1997,2,42.331427,-83.0457538
"25","Kevin Abrams","Kevin","Abrams","Tampa","FL","USA","2/28/1974","Syracuse","Detroit Lions","2nd","54th",1997,"DB","8-May",175,NA,NA,NA,NA,1995,1997,2,27.950575,-82.4571776
"26","Nate Abrams","Nate","Abrams","Green Bay","WI","USA","1897-12-25","none",NA,NA,NA,NA,"E","4-May",145,"4/30/1941","Green Bay","WI",NA,1995,1997,2,44.5133188,-88.0132958
"27","George Abramson","George","Abramson","Eveleth","MN","USA","5/13/1903","Minnesota",NA,NA,NA,NA,"G-T","7-May",198,"3/15/1985","Beverly Hills","CA",NA,1995,1997,2,47.4624279,-92.5399063
"28","Dick Abrell","Dick","Abrell","Linton","IN","USA","1892-05-18","Purdue",NA,NA,NA,NA,"BB-WB","10-May",172,"5/5/1973","West Orange","NJ",NA,1995,1997,2,39.0347666,-87.1658458
"29","Ray Abruzzese","Ray","Abruzzese","Philadelphia","PA","USA","10/27/1937","Alabama","Buffalo Bills","23rd","180th",1962,"B","1-Jun",194,"8/22/2011","Fort Lauderdale","FL",NA,1995,1997,2,39.9525839,-75.1652215
"30","Frank Abruzzino","Frank","Abruzzino","Shinnston","WV","USA","1/22/1908","Colgate",NA,NA,NA,NA,"BB-LB-C-G-E-WB-","Jun-00",193,"6/13/1986","Dade County","FL",NA,1995,1997,2,39.3956423,-80.3000866
"31","Dick Absher","Dick","Absher","Washington","DC","USA","4/19/1944","Maryland","Philadelphia Eagles","5th","125th",1967,"LB-K","4-Jun",230,NA,NA,NA,NA,1967,1972,5,47.7510741,-120.7401385
"32","Steve Ache","Steve","Ache","Syracuse","NY","USA","3/16/1962","SW Missouri St.",NA,NA,NA,NA,"LB","3-Jun",229,NA,NA,NA,NA,1987,1987,0,43.0481221,-76.1474244
"34","Sneeze Achiu","Sneeze","Achiu","Honolulu","HI","USA","8/3/1902","Hawaii",NA,NA,NA,NA,"WB-TB-E-BB","8-May",169,"3/21/1989","Eugene","OR",NA,1987,1987,0,21.3069444,-157.8583333
"37","Bill Acker","Bill","Acker","Freer","TX","USA","11/7/1956","Texas","St. Louis Cardinals","6th","142nd",1980,"NT","3-Jun",255,NA,NA,NA,NA,1980,1987,7,27.8827965,-98.6177929
