"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"19023","Alec Shellogg","Alec","Shellogg","New Castle","PA","USA","2/7/1914","Notre Dame",NA,NA,NA,NA,"T","Jun-00",215,"7/12/1968","Los Angeles County","CA",NA,2000,2005,5,41.0036719,-80.347009
"19024","Anthony Shelton","Anthony","Shelton","Fayetteville","TN","USA","9/4/1967","Tennessee St.","San Francisco 49ers","11th","289th",1990,"DB","1-Jun",195,NA,NA,NA,NA,2000,2005,5,35.0526641,-78.8783585
"19025","Daimon Shelton","Daimon","Shelton","Duarte","CA","USA","9/15/1972","Sacramento St.","Jacksonville Jaguars","6th","184th",1997,"FB","Jun-00",262,NA,NA,NA,NA,2000,2005,5,34.1394513,-117.9772873
"19026","Eric Shelton","Eric","Shelton","Lexington","KY","USA","6/23/1983","Florida St.","Carolina Panthers","2nd","54th",2005,"RB","1-Jun",246,NA,NA,NA,NA,2000,2005,5,38.0405837,-84.5037164
"19027","L.J. Shelton","L.J.","Shelton","Corvallis","OR","USA","3/21/1976","East. Michigan","Arizona Cardinals","1st","21st",1999,"T","6-Jun",335,NA,NA,NA,NA,2000,2005,5,44.5645659,-123.2620435
"19028","Murray Shelton","Murray","Shelton","Dunkirk","NY","USA","1893-04-20","Cornell",NA,NA,NA,NA,"E","1-Jun",175,"8/14/1985","Columbia","MO",NA,2000,2005,5,51.0343684,2.3767763
"19029","Richard Shelton","Richard","Shelton","Marietta","GA","USA","1/2/1966","Liberty","Denver Broncos","11th","292nd",1989,"DB","10-May",180,NA,NA,NA,NA,2000,2005,5,33.952602,-84.5499327
"19030","Paul Shenefelt","Paul","Shenefelt","Ames","IA","USA","3/4/1911","Manchester",NA,NA,NA,NA,"T","Jun-00",195,"10/30/1988","Palm Beach Gardens","FL",NA,2000,2005,5,42.0307812,-93.6319131
"19031","Charlie Shepard","Charlie","Shepard","Dallas","TX","USA","7/11/1933","North Texas","Baltimore Colts","18th","208th",1955,"HB-DB","2-Jun",215,"6/23/2009","Plano","TX",NA,2000,2005,5,32.7766642,-96.7969879
"19032","Derrick Shepard","Derrick","Shepard","Odessa","TX","USA","1/22/1964","Oklahoma",NA,NA,NA,NA,"WR","10-May",186,"8/4/1999","Laramie","WY",NA,2000,2005,5,46.482526,30.7233095
